WT_0min_R1	WT_3min_R1	WT_6min_R1	WT_12min_R1	WT_24min_R1	dproQ_0min_R1	dproQ_3min_R1	dproQ_6min_R1	dproQ_12min_R1	dproQ_24min_R1	proQp_0min_R1	proQp_3min_R1	proQp_6min_R1	proQp_12min_R1	proQp_24min_R1	WT_0min_R2	WT_3min_R2	WT_6min_R2	WT_12min_R2	dproQ_0min_R2	dproQ_3min_R2	dproQ_6min_R2	dproQ_12min_R2	proQp_0min_R2	proQp_3min_R2	proQp_6min_R2	proQp_12min_R2	WT_0min_R3	WT_3min_R3	WT_6min_R3	WT_12min_R3	WT_24min_R3	dproQ_0min_R3	dproQ_3min_R3	dproQ_6min_R3	dproQ_12min_R3	dproQ_24min_R3	proQp_0min_R3	proQp_3min_R3	proQp_6min_R3	proQp_12min_R3	proQp_24min_R3
SL1344_0001	1992	1078	877	347	161	1008	389	168	66	79	4774	3113	1961	694	584	3003	1408	1281	388	1551	543	227	72	1790	1581	1225	696	2971	935	667	216	139	1645	405	163	70	99	1749	1070	1499	1154	1230
SL1344_0002	547	260	93	53	99	660	271	96	51	84	823	360	89	94	103	921	336	89	82	873	386	80	62	562	428	92	91	476	185	60	51	94	594	224	55	51	108	731	434	648	494	508
SL1344_0003	381	226	55	45	55	429	152	66	26	56	660	225	74	53	84	570	197	87	60	435	284	66	60	384	267	78	62	485	113	37	22	85	551	159	39	40	66	501	319	471	356	412
SL1344_0004	647	934	185	85	92	817	711	181	68	119	1161	880	230	120	204	1103	1123	227	156	954	1308	198	116	843	1027	199	146	904	636	117	64	182	1195	679	128	95	135	1074	847	1157	834	862
SL1344_0005	889	603	78	40	51	926	372	80	44	51	1019	442	84	73	99	819	773	107	62	903	800	72	47	729	550	88	79	874	249	42	31	82	1105	177	52	43	56	767	376	469	324	377
SL1344_0006	441	82	30	26	41	358	72	21	30	35	568	54	28	44	64	630	122	30	47	754	104	21	29	409	79	24	42	448	41	17	16	44	484	21	24	28	55	444	166	241	222	242
SL1344_0007	11642	9188	3183	829	754	16820	8177	2155	693	715	13461	9759	3184	1099	1094	10513	9256	2933	953	12947	14778	2692	1014	13346	12621	3278	1561	14443	9697	3061	849	1273	20684	10161	2234	985	1159	16844	12724	12482	8626	8407
SL1344_0008	928	163	40	28	37	974	137	61	51	37	1007	151	40	35	66	1299	198	49	58	1394	247	47	39	947	234	45	75	749	70	32	23	66	1027	80	32	34	65	943	315	518	353	366
SL1344_0009	798	844	789	358	218	796	1096	1301	620	376	1459	858	940	359	275	124	690	594	291	269	1737	1300	964	576	1236	1226	870	762	456	424	171	276	648	682	659	384	284	1982	1650	2674	1413	1078
SL1344_0010	16	6	1	6	1	15	2	2	5	3	23	3	3	1	6	21	7	1	3	13	9	1	2	17	6	2	3	23	3	1	2	3	33	4	1	3	3	20	9	10	14	12
SL1344_0011	21	3	0	2	4	18	1	1	1	2	34	0	2	2	0	14	6	3	0	27	8	3	1	7	2	3	3	25	2	1	0	0	32	0	0	1	1	23	7	8	11	10
SL1344_0012	21056	24524	6816	2229	1967	27503	29338	9092	2040	2128	74606	47002	15061	5906	7524	45813	32919	7380	3206	43475	53487	7978	3618	50236	44029	11112	5976	36896	16985	4333	2051	3253	33440	17812	4009	2365	2279	55794	36408	38425	24359	23999
SL1344_0013	1633	3363	448	231	217	2365	3802	481	202	245	5482	4172	595	426	787	3844	3688	596	325	3173	6181	698	327	3738	6204	715	547	3733	2571	282	199	354	3700	3204	336	274	328	5349	3169	2890	1914	2060
SL1344_0014	57	67	6	6	2	61	101	6	8	13	160	35	11	17	26	49	86	15	5	78	132	10	8	74	86	10	21	121	39	5	3	14	142	79	9	3	9	137	50	43	29	35
SL1344_0015	11	12	6	8	2	13	7	23	11	13	11	7	5	3	12	7	16	4	10	13	12	5	4	3	13	6	13	16	18	2	3	4	16	9	3	4	2	8	9	5	3	4
SL1344_0016	5	14	1	0	0	10	8	3	2	0	16	9	5	1	6	7	10	5	3	2	12	4	0	10	18	6	4	18	11	1	1	0	14	6	0	2	1	18	12	23	14	15
SL1344_0017	6	5	2	3	3	6	5	2	2	1	6	3	0	0	0	5	1	1	1	7	8	0	2	2	9	1	0	8	3	1	3	0	10	4	0	0	2	6	11	9	4	5
SL1344_0018	94	50	22	14	27	71	25	14	15	19	160	33	29	37	58	137	59	33	28	160	50	18	25	94	49	28	42	107	21	19	27	39	122	27	24	36	27	191	108	167	116	103
SL1344_0019	75	77	13	18	22	98	55	11	14	16	120	59	19	23	41	92	126	29	26	104	102	23	18	78	82	20	33	93	35	11	20	47	131	34	16	17	38	95	74	94	95	79
SL1344_0020	68	18	6	5	6	36	12	0	1	4	72	4	6	1	18	19	18	4	5	33	23	4	3	32	11	3	8	66	4	2	3	3	42	7	0	3	4	56	17	14	10	13
SL1344_0021	45	38	25	10	16	31	36	18	6	9	61	58	32	14	30	57	56	35	20	31	75	20	16	66	76	30	22	48	40	23	13	30	81	48	30	10	12	44	40	61	42	38
SL1344_0022	9	10	4	6	2	4	4	2	4	2	17	2	2	3	1	6	5	4	6	7	7	4	4	8	5	1	1	6	1	1	3	8	7	4	2	2	5	16	6	12	6	6
SL1344_0023	53	27	4	8	9	42	40	9	3	10	80	26	3	9	18	35	63	8	9	45	67	7	8	35	35	10	14	55	12	5	5	11	97	30	5	11	12	89	47	60	53	59
SL1344_0024	27	29	1	8	18	25	34	5	6	5	29	15	8	6	9	65	49	14	8	84	58	4	7	22	34	6	14	43	17	3	3	17	43	19	7	9	3	51	32	40	32	26
SL1344_0025	16	21	2	3	6	14	10	4	2	5	14	8	3	2	5	11	24	4	2	32	31	3	4	11	22	1	7	12	9	1	2	6	35	11	1	4	8	19	7	14	14	9
SL1344_0026	9	12	0	5	3	7	8	1	4	1	14	8	0	1	6	11	14	2	1	23	23	1	1	4	10	3	1	12	3	3	2	5	18	13	0	4	8	18	5	15	5	6
SL1344_0027	18	17	2	4	10	19	23	7	1	7	31	18	6	6	11	15	39	8	4	26	50	4	7	15	30	5	11	21	12	3	0	17	26	15	5	7	14	35	19	30	37	29
SL1344_0028	33	79	42	15	11	42	63	28	17	13	73	46	23	12	23	40	86	53	17	44	143	38	17	44	69	37	18	47	53	19	8	25	79	62	22	17	15	72	65	62	46	53
SL1344_0029	39	104	25	6	5	44	69	8	9	2	97	80	43	2	20	34	82	44	12	30	120	25	6	20	94	40	10	51	60	11	4	7	76	82	9	7	8	78	62	55	31	20
SL1344_0030	0	3	1	1	0	5	3	4	0	0	5	2	2	0	0	7	10	0	1	4	2	1	2	1	2	0	2	3	3	2	0	3	4	2	0	2	1	0	3	1	3	2
SL1344_0031	24	4	6	8	4	32	4	7	6	6	34	3	3	3	4	11	14	8	4	27	16	3	4	21	9	5	5	36	3	3	1	2	40	5	2	4	2	32	3	4	6	4
SL1344_0032	15	14	5	1	1	14	18	5	4	2	20	16	6	2	3	6	17	4	0	13	29	7	0	14	19	6	1	26	9	9	3	1	43	11	3	2	1	13	12	8	7	3
SL1344_0033	66	46	28	26	9	35	24	12	7	5	81	54	47	34	38	79	54	32	29	47	43	12	14	47	54	38	27	106	54	51	25	22	87	21	14	15	10	57	35	59	31	45
SL1344_0034	124	63	25	13	21	136	40	20	14	13	162	37	44	24	34	110	71	43	19	114	61	29	13	87	51	35	21	151	34	36	10	28	170	35	16	16	16	109	60	86	63	46
SL1344_0035	7	2	0	1	4	5	3	0	3	3	9	0	1	4	1	4	3	0	1	9	2	0	2	7	1	2	4	14	2	1	1	4	12	0	0	0	3	4	6	4	3	1
SL1344_0036	186	212	150	67	31	270	160	128	58	30	194	205	162	58	65	272	274	210	68	182	279	133	61	184	278	190	74	280	278	216	78	57	402	295	170	76	41	224	185	265	161	145
SL1344_0037	67	31	12	5	10	87	21	5	8	9	92	19	10	15	14	97	28	6	7	113	35	12	10	61	24	5	15	80	10	5	7	15	94	9	5	4	9	99	40	45	39	44
