seq	start	end	strand	locus_tag	com_id	type	description
FQ312003.1	168	255	1	SL1344_0001	thrL	CDS	thr operon leader peptide
FQ312003.1	336	2799	1	SL1344_0002	thrA	CDS	aspartokinase I/homoserine dehydrogenase I
FQ312003.1	2800	3730	1	SL1344_0003	thrB	CDS	Homoserine kinase
FQ312003.1	3733	5020	1	SL1344_0004	thrC	CDS	threonine synthase
FQ312003.1	5113	5887	-1	SL1344_0005	yaaA	CDS	conserved hypothetical protein
FQ312003.1	5965	7396	-1	SL1344_0006	yaaJ	CDS	hypothetical amino-acid transport protein
FQ312003.1	7664	8618	1	SL1344_0007	talB	CDS	transaldolase B
FQ312003.1	8728	9319	1	SL1344_0008	mog	CDS	molybdopterin biosynthesis Mog protein
FQ312003.1	9375	9942	-1	SL1344_0009	yaaH	CDS	conserved hypothetical protein
FQ312003.1	10091	10805	-1	SL1344_0010	htgA	CDS	conserved hypothetical protein
FQ312003.1	10840	11245	-1	SL1344_0011	yaaI	CDS	conserved hypothetical protein
FQ312003.1	11592	13509	1	SL1344_0012	dnaK	CDS	Chaperone protein dnaK
FQ312003.1	13594	14734	1	SL1344_0013	dnaJ	CDS	DnaJ protein
FQ312003.1	15013	15961	1	SL1344_0014	SL1344_0014	CDS	hypothetical regulatory protein
FQ312003.1	16087	16432	1	SL1344_0015	SL1344_0015	CDS	predicted bacteriophage protein
FQ312003.1	16492	17026	-1	SL1344_0016	SL1344_0016	CDS	conserved hypothetical protein
FQ312003.1	17042	17486	-1	SL1344_0017	SL1344_0017	CDS	hypothetical membrane protein
FQ312003.1	18082	19966	1	SL1344_0018	chiA	CDS	chitinase
FQ312003.1	20057	23054	1	SL1344_0019	SL1344_0019	CDS	hypothetical chitinase
FQ312003.1	23334	24039	1	SL1344_0020	SL1344_0020	CDS	conserved hypothetical protein
FQ312003.1	24468	25011	1	SL1344_0021	bcfA	CDS	fimbrial subunit
FQ312003.1	25111	25798	1	SL1344_0022	bcfB	CDS	fimbrial chaperone
FQ312003.1	25802	28424	1	SL1344_0023	bcfC	CDS	fimbrial usher protein
FQ312003.1	28424	29432	1	SL1344_0024	bcfD	CDS	fimbrial subunit
FQ312003.1	29432	29978	1	SL1344_0025	bcfE	CDS	fimbrial subunit
FQ312003.1	29993	30512	1	SL1344_0026	bcfF	CDS	fimbrial subunit
FQ312003.1	30504	31209	1	SL1344_0027	bcfG	CDS	fimbrial chaperone
FQ312003.1	31273	32119	1	SL1344_0028	bcfH	CDS	hypothetical exported protein
